p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
83	0	2.92112214482723	0.947	0.202	0	Thalamic ExN	Inpp4b
84	0	2.90383257258056	0.782	0.074	0	Thalamic ExN	Plekhg1
85	0	2.82886871854604	0.745	0.112	0	Thalamic ExN	Zfp804b
86	0	2.7828691696887	0.841	0.206	0	Thalamic ExN	Vav3
87	0	2.74426231391057	0.795	0.063	0	Thalamic ExN	Tshz2
88	0	2.73520450852088	0.954	0.507	0	Thalamic ExN	Hdac9
89	0	2.57614727505885	0.813	0.056	0	Thalamic ExN	Tcf7l2
90	0	2.53179006555898	0.839	0.187	0	Thalamic ExN	Synpo2
91	0	1.84055943037051	0.852	0.315	0	D1 MSN 2	Tac1
92	0	1.61499985047723	0.903	0.38	0	D1 MSN 2	Pde1c
93	0	1.6088192429099	0.45	0.09	0	D1 MSN 2	Gm16083
94	0	1.53023210030023	0.773	0.256	0	D1 MSN 2	Gm49906
95	0	1.36854949041519	0.936	0.561	0	D1 MSN 2	Cdh18
96	0	1.2987848389473	0.59	0.183	0	D1 MSN 2	Myo3b
97	0	1.26898909818291	0.845	0.385	0	D1 MSN 2	Gpc6
98	0	1.23799736522322	0.552	0.117	0	D1 MSN 2	C130073E24Rik
99	0	1.16210747829892	0.446	0.092	0	D1 MSN 2	4930555F03Rik
100	0	1.06683343655242	0.942	0.588	0	D1 MSN 2	Foxp2
101	0	3.53045351786816	0.985	0.464	0	Cortex ET ExN	Dpp10
102	0	3.2394955961618	0.964	0.13	0	Cortex ET ExN	Zfpm2
103	0	2.6673712342742	0.966	0.192	0	Cortex ET ExN	Pde1a
104	0	2.62625490551685	0.997	0.441	0	Cortex ET ExN	Pde4d
105	0	2.62122110595744	0.983	0.558	0	Cortex ET ExN	Cdh18
106	0	2.55368471854538	0.993	0.587	0	Cortex ET ExN	Hs3st4
107	0	2.51567407587654	0.994	0.6	0	Cortex ET ExN	Etl4
108	0	2.33440295618404	0.847	0.126	0	Cortex ET ExN	Thsd7b
109	0	2.26799143195415	0.955	0.313	0	Cortex ET ExN	Khdrbs3
110	0	2.19525475862927	0.901	0.24	0	Cortex ET ExN	Dlc1
111	0	4.01894448201094	0.978	0.276	0	Oligodendrocytes	Plp1
112	0	3.75238920569699	0.914	0.047	0	Oligodendrocytes	St18
113	0	3.63641446383807	0.876	0.022	0	Oligodendrocytes	Prr5l
114	0	3.20477877551212	0.922	0.228	0	Oligodendrocytes	Mbp
115	0	3.1180354873673	0.822	0.099	0	Oligodendrocytes	Mobp
116	0	3.11267552386605	0.971	0.308	0	Oligodendrocytes	Plcl1
117	0	3.00453614264556	0.731	0.019	0	Oligodendrocytes	Mog
118	0	2.99594969094892	0.802	0.105	0	Oligodendrocytes	Rnf220
119	0	2.97700145707619	0.977	0.607	0	Oligodendrocytes	Tmeff2
120	0	2.95254136935648	0.919	0.304	0	Oligodendrocytes	St6galnac3
121	0	4.0235283420373	0.753	0.067	0	Astrocytes	Gpc5
122	0	3.63619256363474	0.816	0.12	0	Astrocytes	Apoe
123	0	3.22002253750818	0.895	0.41	0	Astrocytes	Slc1a2
124	0	3.14927927692398	0.802	0.08	0	Astrocytes	Slc1a3
125	0	2.93295196297303	0.71	0.08	0	Astrocytes	Prex2
126	0	2.89412315209531	0.701	0.157	0	Astrocytes	Cst3
127	0	2.68258596590248	0.715	0.066	0	Astrocytes	Plpp3
128	0	2.60048896275262	0.842	0.16	0	Astrocytes	Npas3
129	0	2.59243508402119	0.679	0.057	0	Astrocytes	Atp1a2
130	4.99783528677312e-52	2.66611770088093	0.105	0.04	1.23341577042274e-47	Astrocytes	Ttr
131	0	2.58535940226849	0.755	0.271	0	Mixed IN	Erbb4
132	0	2.56632533098423	0.56	0.06	0	Mixed IN	Grik1
133	0	2.3872956577159	0.621	0.088	0	Mixed IN	Nxph1
134	0	2.3187514920974	0.427	0.034	0	Mixed IN	Kcnmb2
135	0	2.23611336513891	0.625	0.14	0	Mixed IN	Kcnc2
136	0	1.94218114862723	0.552	0.045	0	Mixed IN	Kcnip1
137	0	1.72888287610264	0.646	0.281	0	Mixed IN	Unc5d
138	0	1.69317855273388	0.516	0.175	0	Mixed IN	Npas3
139	0	1.59847086265336	0.398	0.108	0	Mixed IN	Zfp804b
140	3.48180617003357e-65	2.02910067470231	0.357	0.257	8.59274944702585e-61	Mixed IN	Adarb2
141	0	3.47995344115353	0.587	0.042	0	Cortex IT ExN	Tafa1
142	0	2.57686174325452	0.882	0.445	0	Cortex IT ExN	Dpp10
143	0	2.51567793679745	0.832	0.177	0	Cortex IT ExN	Car10
144	0	2.07627261445259	0.441	0.044	0	Cortex IT ExN	Pdzrn3
145	0	2.04133158442439	0.941	0.453	0	Cortex IT ExN	Schip1
146	0	1.79941331863014	0.746	0.123	0	Cortex IT ExN	Ptprk
147	0	1.79754103072273	0.865	0.233	0	Cortex IT ExN	Ppm1e
148	0	1.74216684162024	0.992	0.774	0	Cortex IT ExN	Nav3
149	0	1.70616719720573	0.732	0.104	0	Cortex IT ExN	Kcnj6
150	0	1.66697152170309	0.92	0.588	0	Cortex IT ExN	Kcnh7
151	0	2.39961817317723	0.748	0.098	0	D2 MSN	Penk
152	0	2.12850771953798	0.806	0.109	0	D2 MSN	Drd2
153	0	1.56577109678982	0.596	0.104	0	D2 MSN	Adora2a
154	0	1.25687099428706	0.996	0.788	0	D2 MSN	Cacnb2
155	0	1.21092136538702	0.809	0.382	0	D2 MSN	Gm10848
156	0	1.08285574680475	0.838	0.485	0	D2 MSN	Gm13269
157	0	1.08044945198187	0.681	0.275	0	D2 MSN	Necab1
158	0	1.06950785886549	0.839	0.492	0	D2 MSN	Gpr88
159	0	1.05138874669344	0.999	0.828	0	D2 MSN	Sgcz
160	0	1.0146226796198	0.384	0.061	0	D2 MSN	Gpr6
161	0	1.82474975860253	0.764	0.114	0	D1 MSN 1	Ebf1
162	0	1.31848587120328	0.993	0.465	0	D1 MSN 1	Lingo2
163	0	1.22228565129265	0.956	0.511	0	D1 MSN 1	Gm10754
164	0	1.11358251526543	0.795	0.353	0	D1 MSN 1	Reln
165	0	1.07160579684175	0.533	0.148	0	D1 MSN 1	Cntnap3
166	0	1.03855120866463	0.555	0.166	0	D1 MSN 1	Drd1
167	0	0.993425196468559	0.86	0.521	0	D1 MSN 1	Pdzd2
168	0	0.990723342954393	0.508	0.134	0	D1 MSN 1	Sntg2
169	0	0.973322048812983	0.973	0.563	0	D1 MSN 1	Rarb
170	0	0.93034932815094	0.773	0.444	0	D1 MSN 1	Rps6ka5
